Channels,Name,Function,Range/Arg1,Res/Arg2,NPLC,Channel Delay (Seconds),Scale,Function,Gain (M),Offset (B),Label,Test,Low,High,Delta,After N,Alarm,,,,,,,,,,,,,,,,,,,,,,,
2024-12-27 09:32:20.460,13,22.7071847,23.2067662,23.288113,23.3233638,23.3504562,24.0455109,24.1736722,24.4790175,24.6059775,25.2968008,0.193045852,-1.72716E-06,-1.71306E-06,25.0069061,0.042326144,21.1018546,25.4078906,21.708317,0.004422829,25.6846746,25.617615,25.2399043,23.5502731,23.5297676,23.6226266,23.8774032,25.8635781,26.044637,25.9417381,25.5857756,23.5125936,23.487559,23.5691914,23.6744753,24.3055097,24.4985172,24.7285862,24.7098848,25.2485934
2024-12-27 09:32:30.460,14,22.7009239,23.1848667,23.2846115,23.3104084,23.3600983,24.0331389,24.1804521,24.4760837,24.5892448,25.3015672,0.193766971,-1.87716E-06,-1.18357E-06,25.0006147,0.042327861,21.0657593,25.4144774,21.685458,0.004453251,25.6636915,25.6143392,25.2397262,23.5408183,23.5334009,23.6433351,23.8689277,25.8597822,26.0356465,25.9379597,25.5774819,23.5112338,23.5071691,23.5704165,23.6792391,24.3183948,24.4852265,24.7286815,24.697845,25.2280871
2024-12-27 09:32:40.460,15,22.6567277,23.1730844,23.26489,23.2975955,23.3529556,24.016049,24.1716764,24.45537,24.5825223,25.2841252,0.194258637,-2.35234E-06,-8.66469E-07,25.0047932,0.042326693,21.0280885,25.4174184,21.6485825,0.004426189,25.6624216,25.600623,25.2279303,23.5300723,23.5176532,23.620299,23.8635254,25.8525517,26.0285122,25.949598,25.562255,23.5123044,23.5004123,23.5536723,23.6694045,24.2936771,24.4937427,24.6928841,24.6988374,25.2203094
2024-12-27 09:32:50.460,16,22.6326959,23.1554238,23.2670744,23.2888315,23.3442334,23.9969136,24.1692233,24.4516104,24.5724744,25.2761253,0.19694498,-1.94904E-06,-1.85589E-06,25.0006192,0.042323877,21.0522478,25.4137024,21.596108,0.004412965,25.6697027,25.5907172,25.2420718,23.5267808,23.5314459,23.6319238,23.8738775,25.8453454,26.0294696,25.9304953,25.5809073,23.5084984,23.5046974,23.5715216,23.6964993,24.3188519,24.5027259,24.7056867,24.6996242,25.2230266
2024-12-27 09:33:00.460,17,22.6212658,23.1459463,23.2368248,23.2915049,23.3469334,24.0104515,24.1565596,24.4545806,24.5797352,25.2723963,0.192544429,-5.98832E-07,-9.05066E-07,25.0070278,0.042326087,9.9E+37,25.4124843,21.5791214,0.004417115,25.6422731,25.5906509,25.2119458,23.5390761,23.5179507,23.6403631,23.8607456,25.8393388,26.0192187,25.9399834,25.5749599,23.5196053,23.4930399,23.5719833,23.6867565,24.2790359,24.4711668,24.6920698,24.6864917,25.2150545
2024-12-27 09:33:10.460,18,22.5969751,23.1184977,23.2475516,23.2823395,23.3219304,24.0157796,24.1510647,24.4434964,24.557937,25.2579297,0.196448317,-4.26185E-07,-1.40174E-06,25.0065057,0.042324735,20.9575653,25.422718,21.5124613,0.004394017,25.655928,25.5774814,25.2140061,23.5294928,23.518329,23.6217541,23.8585682,25.8293868,26.0082104,25.9278305,25.5601826,23.5039118,23.4927075,23.5555396,23.6641825,24.275542,24.4524688,24.6925278,24.6700934,25.2068021
2024-12-27 09:33:20.476,19,23.3736217,23.1143898,23.2446976,23.2660741,23.3273737,23.999234,24.1446854,24.4324476,24.5573878,25.283083,0.19014155,-1.43364E-06,-1.4831E-06,24.995728,0.06819456,9.9E+37,25.4141364,21.5003392,0.004408384,25.643125,25.5775096,25.2072527,23.5282372,23.50984,23.6211774,23.858874,25.818962,26.0206789,25.9274207,25.5616917,23.5310446,23.4991145,23.5673111,23.6868301,24.294233,24.4709963,24.6854236,24.6872429,25.2324357
2024-12-27 09:33:30.469,20,29.6477595,23.3648186,23.2408623,23.2647169,23.3297326,23.9959192,24.1254445,24.4161713,24.5376132,25.2321659,0.204278273,-7.3866E-07,-5.35043E-07,24.9860704,0.130386557,20.9530275,25.4179816,21.5310438,0.004435064,25.6266632,25.5612385,25.2173502,23.5598179,23.5462216,23.6233668,23.8640452,25.8230685,25.9953022,25.9204602,25.5408611,23.5204034,23.5113745,23.5623789,23.680566,24.2837943,24.4560151,24.6679288,24.6600345,25.2653097
2024-12-27 09:33:40.465,21,38.667382,24.0184661,23.3524309,23.3259446,23.4444952,24.0132904,24.1213666,24.4016547,24.5418029,25.2399746,0.204523537,-2.5273E-06,-2.01699E-06,24.9985696,0.176687274,20.9268625,25.4377747,21.5448079,0.004395759,25.6153648,25.5748494,25.2102209,23.6414566,23.5782807,23.6386002,23.858584,25.8239365,26.0042327,25.9047011,25.5387849,23.531249,23.5168618,23.5572519,23.6736695,24.2690719,24.4439573,24.6707137,24.6655613,25.3190497
2024-12-27 09:33:50.494,22,48.302424,25.0091821,23.5652349,23.4406344,23.5374775,24.0009871,24.1321692,24.41757,24.5346918,25.216136,0.218942727,-1.03149E-06,-1.14127E-06,24.9989975,0.215952233,20.9130099,25.4056525,21.5585661,0.004410336,25.6335623,25.5550555,25.1875825,23.7979577,23.640714,23.6492111,23.8462035,25.8200256,25.9962042,25.9115983,25.5451585,23.5754346,23.5375092,23.5742885,23.6639131,24.2879394,24.4515678,24.6566673,24.6680329,25.408311
2024-12-27 09:34:00.455,23,57.1532344,26.2363269,23.8545436,23.6124766,23.7088655,24.0111823,24.137767,24.40076,24.5134304,25.2270783,0.229402901,-1.08742E-06,-2.078E-06,24.9798627,0.243035459,20.9515571,25.4019951,21.5640476,0.004385528,25.5884539,25.5538188,25.2059973,23.9781862,23.7221984,23.6703869,23.87145,25.8066941,25.9894064,25.911675,25.5591794,23.6248019,23.5848487,23.5900694,23.6853886,24.2856785,24.4607444,24.655147,24.6648929,25.5104676
2024-12-27 09:34:10.456,24,65.0830536,27.6483621,24.2257573,23.8608258,23.9337937,24.0251783,24.1381677,24.3700217,24.5186697,25.2129025,0.238184393,-1.94811E-06,-1.6502E-06,24.9801465,0.268879474,20.9743577,25.4133184,21.5839765,0.00433557,25.5969546,25.5500862,25.2071887,24.2289867,23.7900444,23.6882413,23.8709963,25.7816596,25.9842626,25.9076367,25.5356232,23.6902337,23.6173727,23.6193244,23.6976874,24.2906476,24.4526462,24.640502,24.6641351,25.5700474
2024-12-27 09:34:20.455,25,71.8549284,29.1513898,24.7074936,24.1662106,24.1793896,24.0339151,24.1360208,24.3879736,24.5168184,25.2181043,0.23771054,-1.48402E-06,-2.0186E-06,24.9680634,0.277905546,20.9490973,25.4086618,21.5497593,0.004434217,25.6088513,25.5609844,25.2098287,24.4693348,23.8975456,23.7109297,23.9047029,25.8046607,25.9903298,25.9122096,25.5729581,23.7703149,23.6610014,23.6337269,23.7341196,24.2843696,24.4430224,24.6588599,24.641391,25.6613982
2024-12-27 09:34:30.455,26,77.1522281,30.7867595,25.2973208,24.5113389,24.457663,24.054282,24.1561317,24.3785027,24.5209813,25.2221765,0.250149526,-3.36095E-06,-2.26821E-06,24.9653146,0.288878988,20.9201424,25.4087051,21.5144891,0.004345178,25.5967488,25.5563238,25.2306669,24.7614645,24.0373886,23.7485973,23.9259665,25.7880863,25.9783111,25.8989496,25.5573246,23.8527279,23.7488544,23.6595853,23.7773095,24.291245,24.4308269,24.6386399,24.6434452,25.7306302
2024-12-27 09:34:40.496,27,81.6441389,32.4729845,25.9410217,24.9329238,24.7752836,24.0730037,24.1385318,24.3787222,24.5124835,25.2017965,0.242580945,-2.88738E-06,-2.14179E-06,24.9797039,0.292986097,20.8906433,25.4158769,21.4679592,0.004331459,25.5828729,25.5466009,25.2251703,25.0621894,24.164391,23.7969935,23.9398637,25.7802302,25.9713428,25.8922094,25.5685289,23.9559055,23.8141831,23.6952628,23.850481,24.2898502,24.4215233,24.6389117,24.6712063,25.8041508
2024-12-27 09:34:50.456,28,85.1234421,34.1604432,26.6736762,25.3820427,25.1186847,24.0950028,24.1529489,24.3661245,24.5163949,25.1895471,0.243807375,-3.10949E-06,-2.44017E-06,24.9525145,0.291287634,20.8814995,25.4081028,21.4448194,0.004328812,25.5872839,25.5409893,25.2520056,25.3893402,24.2955941,23.8419378,23.9836213,25.7750551,25.9654759,25.9156524,25.5723397,24.0807845,23.8861998,23.7290311,23.9036405,24.2920101,24.4309669,24.6316446,24.6703229,25.874836
2024-12-27 09:35:00.479,29,87.4325318,35.8024932,27.4348321,25.8781259,25.4996094,24.1294919,24.1655719,24.3746221,24.5485699,25.1998115,0.239411763,-1.52077E-06,-1.53487E-06,24.9649856,0.295205278,9.9E+37,25.3867277,21.4275648,0.004351862,25.5546252,25.5357891,25.2817784,25.7204417,24.451834,23.8975866,24.0002954,25.7715927,25.9603119,25.8833295,25.5904178,24.190323,23.9894192,23.782565,24.0121309,24.3134549,24.4348179,24.6329488,24.6654395,25.9301834
